﻿grade	subject	unit	question	answer	choice2	choice3	choice4	explanation	difficulty	tags
中学1年	数学	一次方程式	（道のり）を求める公式はどれですか。	速さ × 時間	速さ ÷ 時間	時間 ÷ 速さ	速さ + 時間	速さ、時間、道のりの関係は「はじき」の図で覚える基本公式です。[37, 38]	基本	計算
中学1年	数学	一次方程式	「13歳のみなさんの3倍が先生の年齢になるのは何年後か」現在、先生が53歳のとき、これを求める方程式は？	53 + x = 3(13 + x)	53 = 3(13 + x)	53 + x = 13 + 3x	3(53 + x) = 13 + x	x年後のそれぞれの年齢を式にして、「先生＝生徒の3倍」となる式を立てます。	標準	方程式
中学1年	数学	一次方程式	「1個 80円のみかんと 1個 120円のりんごを合わせて 10個買い、代金の合計が 920円」のときの方程式は？	80x + 120(10-x) = 920	80x + 120x = 920	x + y = 920	120x + 80(10-x) = 920	みかんを x個とすると、りんごは (10-x)個と表せます [3]。	標準	方程式
中学1年	数学	一次方程式	「1個120gの品物x個を200gの入れ物に入れると、重さは800gになった」このときのxの値を求めなさい。	5	4	6	10	120x + 200 = 800 という方程式を立てて解くと、120x = 600 より x = 5 となります。	基本	方程式
中学1年	数学	一次方程式	「1日乗り放題チケットが1200円、バス1回が180円、電車の往復が480円」のとき、バスに何回以上乗ればチケットがお得ですか。[4]	5回	4回	6回	3回	「180x + 480 > 1200」の方程式を立てて考えます。[4]	標準	文章題
中学1年	数学	一次方程式	「240枚の折り紙を兄と弟で、枚数の比が 5:3 になるように分ける」とき、兄の枚数を求めなさい。	150枚	90枚	160枚	120枚	兄の枚数をxとすると、x : (240-x) = 5 : 3。これを解くと 3x = 5(240-x) より x=150 です。	標準	文章題
中学1年	数学	一次方程式	「ある山を登るのに、分速40mで登るのと、分速60mで下るのでは、かかる時間が30分違う」この山のふもとから山頂までの道のりを求めなさい。	3600m	1200m	2400m	4800m	道のりをxとして、x/40 - x/60 = 30 という方程式を立てて解きます。	挑戦	文章題
中学1年	数学	一次方程式	「バス1回 180円、電車の往復 480円。1日乗り放題 1200円」のとき、バスに何回乗ると乗り放題と同額？	4回	5回	3回	6回	180x + 480 = 1200 を解くと x = 4 となります [21]。	標準	文章題
中学1年	数学	一次方程式	13歳のけいたさんと53歳の先生がいる。先生の年齢がけいたさんの「3倍」になるのは何年後か求めなさい。	7年後	3年後	10年後	5年後	(53+x) = 3(13+x) という方程式を立てて解くと、x=7 となります。	標準	文章題
中学1年	数学	一次方程式	1日乗り放題チケットが 1200円、バス1回が 180円、電車の往復が 480円のとき、バスに何回乗るとチケットと同額になりますか。	4回	5回	3回	6回	180x + 480 = 1200 という方程式を立てて解きます。	標準	文章題
